,ID,SIT.BG.Traps,date_collection,date_release,sex,species,source,trap,number,days,treatment,lat.r,lon.r,lat.t,lon.t,distance
498,green 2,Ae. aegypti - Green,5/16/2018,5/15/2018,male,Ae. Aegypti,green,2,0,1,release,29.899837,-81.299867,29.89888889,-81.3025,275.1408016
506,green 2,Ae. aegypti - Green,5/24/2018,5/15/2018,male,Ae. Aegypti,green,2,0,9,release,29.899837,-81.299867,29.89888889,-81.3025,275.1408016
512,green 2,Ae. aegypti - Green,5/18/2018,5/15/2018,male,Ae. Aegypti,green,2,0,3,release,29.899837,-81.299867,29.89888889,-81.3025,275.1408016
513,green 2,Ae. aegypti - Green,5/22/2018,5/15/2018,male,Ae. Aegypti,green,2,0,7,release,29.899837,-81.299867,29.89888889,-81.3025,275.1408016
520,green 2,Ae. aegypti - Green,5/30/2018,5/15/2018,male,Ae. Aegypti,green,2,0,15,release,29.899837,-81.299867,29.89888889,-81.3025,275.1408016
533,green 3,Ae. aegypti - Green,5/16/2018,5/15/2018,male,Ae. Aegypti,green,3,0,1,release,29.899837,-81.299867,29.89972222,-81.3025,254.4127123
541,green 3,Ae. aegypti - Green,5/24/2018,5/15/2018,male,Ae. Aegypti,green,3,0,9,release,29.899837,-81.299867,29.89972222,-81.3025,254.4127123
547,green 3,Ae. aegypti - Green,5/18/2018,5/15/2018,male,Ae. Aegypti,green,3,0,3,release,29.899837,-81.299867,29.89972222,-81.3025,254.4127123
548,green 3,Ae. aegypti - Green,5/22/2018,5/15/2018,male,Ae. Aegypti,green,3,0,7,release,29.899837,-81.299867,29.89972222,-81.3025,254.4127123
555,green 3,Ae. aegypti - Green,5/30/2018,5/15/2018,male,Ae. Aegypti,green,3,0,15,release,29.899837,-81.299867,29.89972222,-81.3025,254.4127123
568,green 4,Ae. aegypti - Green,5/16/2018,5/15/2018,male,Ae. Aegypti,green,4,0,1,release,29.899837,-81.299867,29.9,-81.30083333,95.00226071
576,green 4,Ae. aegypti - Green,5/24/2018,5/15/2018,male,Ae. Aegypti,green,4,0,9,release,29.899837,-81.299867,29.9,-81.30083333,95.00226071
582,green 4,Ae. aegypti - Green,5/18/2018,5/15/2018,male,Ae. Aegypti,green,4,0,3,release,29.899837,-81.299867,29.9,-81.30083333,95.00226071
583,green 4,Ae. aegypti - Green,5/22/2018,5/15/2018,male,Ae. Aegypti,green,4,0,7,release,29.899837,-81.299867,29.9,-81.30083333,95.00226071
590,green 4,Ae. aegypti - Green,5/30/2018,5/15/2018,male,Ae. Aegypti,green,4,0,15,release,29.899837,-81.299867,29.9,-81.30083333,95.00226071
603,green 5,Ae. aegypti - Green,5/16/2018,5/15/2018,male,Ae. Aegypti,green,5,0,1,release,29.899837,-81.299867,29.9,-81.29972222,22.90088769
611,green 5,Ae. aegypti - Green,5/24/2018,5/15/2018,male,Ae. Aegypti,green,5,0,9,release,29.899837,-81.299867,29.9,-81.29972222,22.90088769
617,green 5,Ae. aegypti - Green,5/18/2018,5/15/2018,male,Ae. Aegypti,green,5,0,3,release,29.899837,-81.299867,29.9,-81.29972222,22.90088769
618,green 5,Ae. aegypti - Green,5/22/2018,5/15/2018,male,Ae. Aegypti,green,5,0,7,release,29.899837,-81.299867,29.9,-81.29972222,22.90088769
625,green 5,Ae. aegypti - Green,5/30/2018,5/15/2018,male,Ae. Aegypti,green,5,0,15,release,29.899837,-81.299867,29.9,-81.29972222,22.90088769
638,green 6,Ae. aegypti - Green,5/16/2018,5/15/2018,male,Ae. Aegypti,green,6,0,1,release,29.899837,-81.299867,29.89944444,-81.29888889,104.0153922
646,green 6,Ae. aegypti - Green,5/24/2018,5/15/2018,male,Ae. Aegypti,green,6,0,9,release,29.899837,-81.299867,29.89944444,-81.29888889,104.0153922
652,green 6,Ae. aegypti - Green,5/18/2018,5/15/2018,male,Ae. Aegypti,green,6,0,3,release,29.899837,-81.299867,29.89944444,-81.29888889,104.0153922
653,green 6,Ae. aegypti - Green,5/22/2018,5/15/2018,male,Ae. Aegypti,green,6,0,7,release,29.899837,-81.299867,29.89944444,-81.29888889,104.0153922
660,green 6,Ae. aegypti - Green,5/30/2018,5/15/2018,male,Ae. Aegypti,green,6,0,15,release,29.899837,-81.299867,29.89944444,-81.29888889,104.0153922
673,green 7,Ae. aegypti - Green,5/16/2018,5/15/2018,male,Ae. Aegypti,green,7,0,1,release,29.899837,-81.299867,29.89833333,-81.29916667,180.5167449
681,green 7,Ae. aegypti - Green,5/24/2018,5/15/2018,male,Ae. Aegypti,green,7,0,9,release,29.899837,-81.299867,29.89833333,-81.29916667,180.5167449
687,green 7,Ae. aegypti - Green,5/18/2018,5/15/2018,male,Ae. Aegypti,green,7,0,3,release,29.899837,-81.299867,29.89833333,-81.29916667,180.5167449
688,green 7,Ae. aegypti - Green,5/22/2018,5/15/2018,male,Ae. Aegypti,green,7,0,7,release,29.899837,-81.299867,29.89833333,-81.29916667,180.5167449
695,green 7,Ae. aegypti - Green,5/30/2018,5/15/2018,male,Ae. Aegypti,green,7,0,15,release,29.899837,-81.299867,29.89833333,-81.29916667,180.5167449
708,green 8,Ae. aegypti - Green,5/16/2018,5/15/2018,male,Ae. Aegypti,green,8,0,1,release,29.899837,-81.299867,29.89944444,-81.30027778,59.00082321
716,green 8,Ae. aegypti - Green,5/24/2018,5/15/2018,male,Ae. Aegypti,green,8,0,9,release,29.899837,-81.299867,29.89944444,-81.30027778,59.00082321
722,green 8,Ae. aegypti - Green,5/18/2018,5/15/2018,male,Ae. Aegypti,green,8,0,3,release,29.899837,-81.299867,29.89944444,-81.30027778,59.00082321
723,green 8,Ae. aegypti - Green,5/22/2018,5/15/2018,male,Ae. Aegypti,green,8,0,7,release,29.899837,-81.299867,29.89944444,-81.30027778,59.00082321
730,green 8,Ae. aegypti - Green,5/30/2018,5/15/2018,male,Ae. Aegypti,green,8,0,15,release,29.899837,-81.299867,29.89944444,-81.30027778,59.00082321
743,green 9,Ae. aegypti - Green,5/16/2018,5/15/2018,male,Ae. Aegypti,green,9,0,1,release,29.899837,-81.299867,29.89888889,-81.30111111,159.8557914
751,green 9,Ae. aegypti - Green,5/24/2018,5/15/2018,male,Ae. Aegypti,green,9,0,9,release,29.899837,-81.299867,29.89888889,-81.30111111,159.8557914
757,green 9,Ae. aegypti - Green,5/18/2018,5/15/2018,male,Ae. Aegypti,green,9,0,3,release,29.899837,-81.299867,29.89888889,-81.30111111,159.8557914
758,green 9,Ae. aegypti - Green,5/22/2018,5/15/2018,male,Ae. Aegypti,green,9,0,7,release,29.899837,-81.299867,29.89888889,-81.30111111,159.8557914
765,green 9,Ae. aegypti - Green,5/30/2018,5/15/2018,male,Ae. Aegypti,green,9,0,15,release,29.899837,-81.299867,29.89888889,-81.30111111,159.8557914
774,pink 1,Ae. aegypti - Pink,5/24/2018,5/15/2018,male,Ae. Aegypti,pink,1,0,9,release,29.898728,-81.301494,29.89916667,-81.30333333,184.0964794
776,pink 1,Ae. aegypti - Pink,5/22/2018,5/15/2018,male,Ae. Aegypti,pink,1,0,7,release,29.898728,-81.301494,29.89916667,-81.30333333,184.0964794
778,pink 1,Ae. aegypti - Pink,5/16/2018,5/15/2018,male,Ae. Aegypti,pink,1,0,1,release,29.898728,-81.301494,29.89916667,-81.30333333,184.0964794
800,pink 1,Ae. aegypti - Pink,5/30/2018,5/15/2018,male,Ae. Aegypti,pink,1,0,15,release,29.898728,-81.301494,29.89916667,-81.30333333,184.0964794
801,pink 1,Ae. aegypti - Pink,5/18/2018,5/15/2018,male,Ae. Aegypti,pink,1,0,3,release,29.898728,-81.301494,29.89916667,-81.30333333,184.0964794
809,pink 10,Ae. aegypti - Pink,5/24/2018,5/15/2018,male,Ae. Aegypti,pink,10,0,9,release,29.898728,-81.301494,29.8975,-81.30138889,137.0761596
811,pink 10,Ae. aegypti - Pink,5/22/2018,5/15/2018,male,Ae. Aegypti,pink,10,0,7,release,29.898728,-81.301494,29.8975,-81.30138889,137.0761596
813,pink 10,Ae. aegypti - Pink,5/16/2018,5/15/2018,male,Ae. Aegypti,pink,10,0,1,release,29.898728,-81.301494,29.8975,-81.30138889,137.0761596
835,pink 10,Ae. aegypti - Pink,5/30/2018,5/15/2018,male,Ae. Aegypti,pink,10,0,15,release,29.898728,-81.301494,29.8975,-81.30138889,137.0761596
836,pink 10,Ae. aegypti - Pink,5/18/2018,5/15/2018,male,Ae. Aegypti,pink,10,0,3,release,29.898728,-81.301494,29.8975,-81.30138889,137.0761596
844,pink 11,Ae. aegypti - Pink,5/24/2018,5/15/2018,male,Ae. Aegypti,pink,11,0,9,release,29.898728,-81.301494,29.89777778,-81.29944444,224.2996261
846,pink 11,Ae. aegypti - Pink,5/22/2018,5/15/2018,male,Ae. Aegypti,pink,11,0,7,release,29.898728,-81.301494,29.89777778,-81.29944444,224.2996261
848,pink 11,Ae. aegypti - Pink,5/16/2018,5/15/2018,male,Ae. Aegypti,pink,11,0,1,release,29.898728,-81.301494,29.89777778,-81.29944444,224.2996261
870,pink 11,Ae. aegypti - Pink,5/30/2018,5/15/2018,male,Ae. Aegypti,pink,11,0,15,release,29.898728,-81.301494,29.89777778,-81.29944444,224.2996261
871,pink 11,Ae. aegypti - Pink,5/18/2018,5/15/2018,male,Ae. Aegypti,pink,11,0,3,release,29.898728,-81.301494,29.89777778,-81.29944444,224.2996261
879,pink 2,Ae. aegypti - Pink,5/24/2018,5/15/2018,male,Ae. Aegypti,pink,2,0,9,release,29.898728,-81.301494,29.89888889,-81.3025,98.72092932
881,pink 2,Ae. aegypti - Pink,5/22/2018,5/15/2018,male,Ae. Aegypti,pink,2,0,7,release,29.898728,-81.301494,29.89888889,-81.3025,98.72092932
